,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
96,7.10,https://www.beeradvocate.com/beer/profile/40297/210176/,Kicksled,American Stout,americanstout,Urban Artifact,2.6,3.96,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
97,7.20,https://www.beeradvocate.com/beer/profile/47204/258265/,Cafe Con Leche,American Stout,americanstout,Streetside Brewery,0,4.18,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
98,7.40,https://www.beeradvocate.com/beer/profile/31221/118857/,Siren / Cigar City Caribbean Chocolate Cake,American Stout,americanstout,Siren Craft Brew,0.2,4.15,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
99,6.40,https://www.beeradvocate.com/beer/profile/63/197/,Obsidian Stout,American Stout,americanstout,Deschutes Brewery,0.2,4.21,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
100,5.00,https://www.beeradvocate.com/beer/profile/3474/256350/,LIstermann 562 Lateral Oatmeal Stout - Chocolate Raspberry Jam,American Stout,americanstout,Listermann Brewing Company,0,3.99,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
101,6.40,https://www.beeradvocate.com/beer/profile/24680/80951/,Savage,American Stout,americanstout,Lager Heads Smokehouse & Brewing Co.,3.2,3.62,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
102,9.00,https://www.beeradvocate.com/beer/profile/34018/252540/,A-Crop Black Light,American Stout,americanstout,Zaftig Brewing Co.,0.5,4.14,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
103,6.50,https://www.beeradvocate.com/beer/profile/199/138387/,The Commodore,American Stout,americanstout,Ballast Point Brewing Company,3.4,4,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
104,5.50,https://www.beeradvocate.com/beer/profile/27037/75808/,Deadeye,American Stout,americanstout,Triton Brewing Company,5.2,3.62,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
105,5.50,https://www.beeradvocate.com/beer/profile/28764/80775/,Sister Sue Stout,American Stout,americanstout,West Sixth Brewing Company,8.6,3.93,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
