,names,style,url,urlHack
12313,Tripel Dog Dare,Tripel,https://www.beeradvocate.com/beer/profile/73/117268/,https://www.beeradvocate.com/beer/profile/73/117268/ 
12314,Monkeys Uncle Lemongrass Tripel,Tripel,https://www.beeradvocate.com/beer/profile/30284/91510/,https://www.beeradvocate.com/beer/profile/30284/91510/ 
12315,Bosprotter,Tripel,https://www.beeradvocate.com/beer/profile/13160/28810/,https://www.beeradvocate.com/beer/profile/13160/28810/ 
12316,Tripel Abdijbier Dendermonde,Tripel,https://www.beeradvocate.com/beer/profile/2789/6572/,https://www.beeradvocate.com/beer/profile/2789/6572/ 
12317,Iron Brass,Tripel,https://www.beeradvocate.com/beer/profile/18006/91316/,https://www.beeradvocate.com/beer/profile/18006/91316/ 
12318,Phantom Limb,Tripel,https://www.beeradvocate.com/beer/profile/28820/97994/,https://www.beeradvocate.com/beer/profile/28820/97994/ 
12319,Bottleworks Tripel Krullekop,Tripel,https://www.beeradvocate.com/beer/profile/3521/8447/,https://www.beeradvocate.com/beer/profile/3521/8447/ 
12320,Crash Test Dummy,Tripel,https://www.beeradvocate.com/beer/profile/34315/129122/,https://www.beeradvocate.com/beer/profile/34315/129122/ 
12321,Vivat Triple,Tripel,https://www.beeradvocate.com/beer/profile/16445/40035/,https://www.beeradvocate.com/beer/profile/16445/40035/ 
12322,Bedotter,Tripel,https://www.beeradvocate.com/beer/profile/6045/136301/,https://www.beeradvocate.com/beer/profile/6045/136301/ 
12323,Sandstorm Tripel,Tripel,https://www.beeradvocate.com/beer/profile/30007/89453/,https://www.beeradvocate.com/beer/profile/30007/89453/ 
12324,Jessenhofke Triple,Tripel,https://www.beeradvocate.com/beer/profile/14478/54441/,https://www.beeradvocate.com/beer/profile/14478/54441/ 
12325,Threesome,Tripel,https://www.beeradvocate.com/beer/profile/22072/75506/,https://www.beeradvocate.com/beer/profile/22072/75506/ 
12326,Abbaye De Crespin - Secret Des Moines Triple,Tripel,https://www.beeradvocate.com/beer/profile/36/75523/,https://www.beeradvocate.com/beer/profile/36/75523/ 
12327,Tripel,Tripel,https://www.beeradvocate.com/beer/profile/12314/77966/,https://www.beeradvocate.com/beer/profile/12314/77966/ 
12328,Rum Barrel Aged Deceit,Tripel,https://www.beeradvocate.com/beer/profile/24075/96687/,https://www.beeradvocate.com/beer/profile/24075/96687/ 
12329,Ramée Ambrée,Tripel,https://www.beeradvocate.com/beer/profile/28979/9341/,https://www.beeradvocate.com/beer/profile/28979/9341/ 
12330,St. Idesbald Tripel,Tripel,https://www.beeradvocate.com/beer/profile/180/19377/,https://www.beeradvocate.com/beer/profile/180/19377/ 
12331,Faceplant,Tripel,https://www.beeradvocate.com/beer/profile/1337/49152/,https://www.beeradvocate.com/beer/profile/1337/49152/ 
12332,Rigor Mortis Triple,Tripel,https://www.beeradvocate.com/beer/profile/1141/21285/,https://www.beeradvocate.com/beer/profile/1141/21285/ 
12333,Trippel Lutz,Tripel,https://www.beeradvocate.com/beer/profile/30409/90464/,https://www.beeradvocate.com/beer/profile/30409/90464/ 
12334,Red Rock Rêve,Tripel,https://www.beeradvocate.com/beer/profile/1412/40874/,https://www.beeradvocate.com/beer/profile/1412/40874/ 
12335,Moat Belgian Tripel,Tripel,https://www.beeradvocate.com/beer/profile/451/70894/,https://www.beeradvocate.com/beer/profile/451/70894/ 
12336,Bling,Tripel,https://www.beeradvocate.com/beer/profile/26749/111711/,https://www.beeradvocate.com/beer/profile/26749/111711/ 
12337,Dawn Treader Tripel,Tripel,https://www.beeradvocate.com/beer/profile/30209/97671/,https://www.beeradvocate.com/beer/profile/30209/97671/ 
12338,Cellar 3: Divine Belgique,Tripel,https://www.beeradvocate.com/beer/profile/2743/232654/,https://www.beeradvocate.com/beer/profile/2743/232654/ 
12339,Belgian Tripel,Tripel,https://www.beeradvocate.com/beer/profile/34734/122063/,https://www.beeradvocate.com/beer/profile/34734/122063/ 
12340,Independence Lupulust,Tripel,https://www.beeradvocate.com/beer/profile/10284/79832/,https://www.beeradvocate.com/beer/profile/10284/79832/ 
12341,Texels Tripel,Tripel,https://www.beeradvocate.com/beer/profile/526/19444/,https://www.beeradvocate.com/beer/profile/526/19444/ 
12342,Third Man,Tripel,https://www.beeradvocate.com/beer/profile/30102/86791/,https://www.beeradvocate.com/beer/profile/30102/86791/ 
12343,Jopen Trinitas Tripel,Tripel,https://www.beeradvocate.com/beer/profile/514/68383/,https://www.beeradvocate.com/beer/profile/514/68383/ 
12344,Imper Ale Triplo Malto,Tripel,https://www.beeradvocate.com/beer/profile/22336/73000/,https://www.beeradvocate.com/beer/profile/22336/73000/ 
12345,Bru Man Chu,Tripel,https://www.beeradvocate.com/beer/profile/36350/157496/,https://www.beeradvocate.com/beer/profile/36350/157496/ 
12346,Great Lakes Barrel Aged Tripel Dog Dare,Tripel,https://www.beeradvocate.com/beer/profile/73/140946/,https://www.beeradvocate.com/beer/profile/73/140946/ 
12347,Tripel Klok,Tripel,https://www.beeradvocate.com/beer/profile/660/64155/,https://www.beeradvocate.com/beer/profile/660/64155/ 
12348,Queue De Charrue Triple,Tripel,https://www.beeradvocate.com/beer/profile/4500/40885/,https://www.beeradvocate.com/beer/profile/4500/40885/ 
12349,The Crucifix Tripel,Tripel,https://www.beeradvocate.com/beer/profile/31722/128968/,https://www.beeradvocate.com/beer/profile/31722/128968/ 
12350,Stumblin' Monk Abbey Trippel,Tripel,https://www.beeradvocate.com/beer/profile/1754/19412/,https://www.beeradvocate.com/beer/profile/1754/19412/ 
12351,Caffe Della Vita,Tripel,https://www.beeradvocate.com/beer/profile/28657/149214/,https://www.beeradvocate.com/beer/profile/28657/149214/ 
12352,Tripel,Tripel,https://www.beeradvocate.com/beer/profile/14400/94177/,https://www.beeradvocate.com/beer/profile/14400/94177/ 
12353,Winterlude,Tripel,https://www.beeradvocate.com/beer/profile/16043/48929/,https://www.beeradvocate.com/beer/profile/16043/48929/ 
12354,A Lost Epic,Tripel,https://www.beeradvocate.com/beer/profile/28520/142373/,https://www.beeradvocate.com/beer/profile/28520/142373/ 
12355,Miracle Worker Tripel,Tripel,https://www.beeradvocate.com/beer/profile/24814/74550/,https://www.beeradvocate.com/beer/profile/24814/74550/ 
12356,Wäls Trippel,Tripel,https://www.beeradvocate.com/beer/profile/18899/47282/,https://www.beeradvocate.com/beer/profile/18899/47282/ 
12357,Jack Of Spades / Schuppenboer Tripel,Tripel,https://www.beeradvocate.com/beer/profile/29672/84155/,https://www.beeradvocate.com/beer/profile/29672/84155/ 
12358,Anna,Tripel,https://www.beeradvocate.com/beer/profile/38853/243179/,https://www.beeradvocate.com/beer/profile/38853/243179/ 
12359,Koksijde 12,Tripel,https://www.beeradvocate.com/beer/profile/33510/131565/,https://www.beeradvocate.com/beer/profile/33510/131565/ 
12360,Sanctuaire (Grande Reserve - Futs De Vin Rouge),Tripel,https://www.beeradvocate.com/beer/profile/29030/155898/,https://www.beeradvocate.com/beer/profile/29030/155898/ 
12361,Postel Tripel,Tripel,https://www.beeradvocate.com/beer/profile/196/19969/,https://www.beeradvocate.com/beer/profile/196/19969/ 
12362,Thrice,Tripel,https://www.beeradvocate.com/beer/profile/28510/92957/,https://www.beeradvocate.com/beer/profile/28510/92957/ 
12363,Triplicity Belgian Tripel,Tripel,https://www.beeradvocate.com/beer/profile/32184/116022/,https://www.beeradvocate.com/beer/profile/32184/116022/ 
12364,Cazeau Tournay Triple,Tripel,https://www.beeradvocate.com/beer/profile/10260/88691/,https://www.beeradvocate.com/beer/profile/10260/88691/ 
12365,Handsome Maniac,Tripel,https://www.beeradvocate.com/beer/profile/39356/209552/,https://www.beeradvocate.com/beer/profile/39356/209552/ 
12366,Honey Tripel,Tripel,https://www.beeradvocate.com/beer/profile/33738/129434/,https://www.beeradvocate.com/beer/profile/33738/129434/ 
12367,Villers Trippel,Tripel,https://www.beeradvocate.com/beer/profile/180/12231/,https://www.beeradvocate.com/beer/profile/180/12231/ 
12368,Tripel,Tripel,https://www.beeradvocate.com/beer/profile/29573/104924/,https://www.beeradvocate.com/beer/profile/29573/104924/ 
12369,Batch 777: Touched By An Angel,Tripel,https://www.beeradvocate.com/beer/profile/20672/94685/,https://www.beeradvocate.com/beer/profile/20672/94685/ 
12370,Toria Tripel,Tripel,https://www.beeradvocate.com/beer/profile/17982/57837/,https://www.beeradvocate.com/beer/profile/17982/57837/ 
12371,Different Stiles Blood Orange Triple Throwback,Tripel,https://www.beeradvocate.com/beer/profile/2681/175098/,https://www.beeradvocate.com/beer/profile/2681/175098/ 
12372,Raspberry Tripel Horse,Tripel,https://www.beeradvocate.com/beer/profile/877/273676/,https://www.beeradvocate.com/beer/profile/877/273676/ 
12373,Cuvee Mam'zelle,Tripel,https://www.beeradvocate.com/beer/profile/25941/100185/,https://www.beeradvocate.com/beer/profile/25941/100185/ 
12374,Homosapien,Tripel,https://www.beeradvocate.com/beer/profile/1471/74085/,https://www.beeradvocate.com/beer/profile/1471/74085/ 
12375,Lakewood Saint Dymphna,Tripel,https://www.beeradvocate.com/beer/profile/29656/174705/,https://www.beeradvocate.com/beer/profile/29656/174705/ 
12376,Newburgh Magnanini Niagara Tripel,Tripel,https://www.beeradvocate.com/beer/profile/29419/104664/,https://www.beeradvocate.com/beer/profile/29419/104664/ 
12377,Ter Dolen Tripel,Tripel,https://www.beeradvocate.com/beer/profile/3512/10480/,https://www.beeradvocate.com/beer/profile/3512/10480/ 
12378,Father Francisco,Tripel,https://www.beeradvocate.com/beer/profile/33003/118606/,https://www.beeradvocate.com/beer/profile/33003/118606/ 
12379,Fatbob XVII,Tripel,https://www.beeradvocate.com/beer/profile/27844/80997/,https://www.beeradvocate.com/beer/profile/27844/80997/ 
12380,Reinaert Tripel,Tripel,https://www.beeradvocate.com/beer/profile/3521/13685/,https://www.beeradvocate.com/beer/profile/3521/13685/ 
12381,Brewer's Art Cerberus Tripel,Tripel,https://www.beeradvocate.com/beer/profile/997/7098/,https://www.beeradvocate.com/beer/profile/997/7098/ 
12382,De Prael Tripel,Tripel,https://www.beeradvocate.com/beer/profile/6331/71129/,https://www.beeradvocate.com/beer/profile/6331/71129/ 
12383,Trifecta Belgian Style Tripel,Tripel,https://www.beeradvocate.com/beer/profile/14936/35579/,https://www.beeradvocate.com/beer/profile/14936/35579/ 
12384,(512) Cab Tripel,Tripel,https://www.beeradvocate.com/beer/profile/17863/92675/,https://www.beeradvocate.com/beer/profile/17863/92675/ 
