names,style,url
Turntable Pils,Czech Pilsener,https://www.beeradvocate.com/beer/profile/73/215299/
STS Pils,Czech Pilsener,https://www.beeradvocate.com/beer/profile/863/130770/
Saranac Bohemian Pilsener,Czech Pilsener,https://www.beeradvocate.com/beer/profile/99/45378/
Short's Pontius Road Pilsner,Czech Pilsener,https://www.beeradvocate.com/beer/profile/9629/35413/
Tiny Bomb,Czech Pilsener,https://www.beeradvocate.com/beer/profile/32679/103283/
Notch Session Pils,Czech Pilsener,https://www.beeradvocate.com/beer/profile/22723/67261/
Josephs Brau PLZNR Czech-Style Lager,Czech Pilsener,https://www.beeradvocate.com/beer/profile/10707/76549/
Schlafly Pilsner,Czech Pilsener,https://www.beeradvocate.com/beer/profile/583/6744/
Danish Dream,Czech Pilsener,https://www.beeradvocate.com/beer/profile/13307/55258/
Long Day Lager,Czech Pilsener,https://www.beeradvocate.com/beer/profile/26784/72945/
??Žatec,Czech Pilsener,https://www.beeradvocate.com/beer/profile/4106/27491/
Montejo,Czech Pilsener,https://www.beeradvocate.com/beer/profile/75/11700/
Von Trapp Bohemian Pilsner,Czech Pilsener,https://www.beeradvocate.com/beer/profile/22512/126783/
Creemore Springs Traditional Pilsner,Czech Pilsener,https://www.beeradvocate.com/beer/profile/455/36960/
Terrapin Sound Czech,Czech Pilsener,https://www.beeradvocate.com/beer/profile/2372/60684/
Wonderstuff,Czech Pilsener,https://www.beeradvocate.com/beer/profile/35769/129339/
HUB Lager,Czech Pilsener,https://www.beeradvocate.com/beer/profile/16353/41786/
Kozel,Czech Pilsener,https://www.beeradvocate.com/beer/profile/448/5430/
Primátor Premium,Czech Pilsener,https://www.beeradvocate.com/beer/profile/707/2043/
Kelso Pilsner,Czech Pilsener,https://www.beeradvocate.com/beer/profile/8768/47904/
Yuengling Traditional Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/182/1351/
Brooklyn Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/45/148/
George Killian's Irish Red,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/306/909/
Blue Point Toasted Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/764/2318/
Original Honey Brown Extra Rich Lager (Beer Brewed With Honey),American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/302/832/
Third Shift Amber Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/306/87749/
Budweiser Black Crown,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/29/88582/
Dream Machine IPL India Style Pale Lager,American Amber / Red Lager,https://www.beeradvocate.com/beer/profile/96/111476/
